"Scenario","Variable","Region","Sector","Units","2025","2026","2027","2028","2029","2030"
"S02","GDPR","MYS","NA","Percentage GDP Deviation",0.0031281299100598,-0.106900710611729,-0.0005612871942357,0.0098764926043168,0.0064464646380428,0.0044169915737398
"S02","GDPR","PAK","NA","Percentage GDP Deviation",0.0122112052067164,-0.266872078035863,-0.0109596447216899,0.002691373428142,-0.0027771167541875,-0.0055835888125769
"S02","GDPR","BGD","NA","Percentage GDP Deviation",0.0078621909602103,-0.0909558255978884,-0.002934408778908,0.009014089786251,0.0050824174774061,0.0028415901895823
"S02","GDPR","LKA","NA","Percentage GDP Deviation",0.0042442350448963,-0.0528076287451511,-0.003590159336133,-0.0034534139996105,-0.0036883229286206,-0.0031125314536256
"S02","GDPR","ROA","NA","Percentage GDP Deviation",0.0192618441782157,-0.384909342850732,-0.0388898117130813,-0.00807272198744,4.65067977387e-05,0.0087142232421502
"S02","GDPR","LAM","NA","Percentage GDP Deviation",0.0017812286043763,-0.0737036902731113,5.96006086515e-05,0.0096799639777844,0.006446054727394,0.0044162296873324
"S02","GDPR","AFR","NA","Percentage GDP Deviation",0.0073853246102403,-0.07385184809489,0.0029873518115472,0.0073706854650218,0.0036070907393712,0.0020072544814643
"S02","GDPR","MEN","NA","Percentage GDP Deviation",-0.0019239657935586,-0.0389088174203277,0.001576447972529,0.0056391093303103,0.0024389172286107,0.0005032571935057
"S02","GDPR","ROW","NA","Percentage GDP Deviation",0.0013927547403932,-0.108835768114152,-0.0027271031721771,0.0065079518779285,0.0035682441112852,0.0021357300193244
"S02","INFL","USA","NA","Percentage Point Deviation",0.0004084837073037,0.0086635759036113,-0.013441306395201,0.0055959769298397,0.0006411893494374,-0.0005498499136891
"S02","INFL","JPN","NA","Percentage Point Deviation",0.0250038747076076,0.0747353321006727,-0.110200915009173,0.0076868898904792,0.0021756583187482,-0.0024611982816225
"S02","INFL","EUW","NA","Percentage Point Deviation",0.0166614126573705,0.104542696290366,-0.125793839661981,0.0052386677232619,0.0036280734720506,-0.0030319762460707
"S02","INFL","AUS","NA","Percentage Point Deviation",-0.0071183909003736,0.0129850938270337,-0.0212268397408621,0.01500769133429,0.0057383316148574,-0.0001712795800302
"S02","INFL","KOR","NA","Percentage Point Deviation",0.0651665244120636,0.136896964221478,-0.205145096873594,0.0052136957300775,0.0033489565225864,-0.0065357072841721
"S02","INFL","ADV","NA","Percentage Point Deviation",-0.0039691498004757,0.0238380291703422,-0.0259116819464111,0.0056819178473333,0.0023434846006865,-0.0002825952918784
"S02","INFL","CHN","NA","Percentage Point Deviation",0.0178291686211196,0.0229394933988658,-0.0518613310365623,0.0088344473848423,0.0031614378499967,-0.0007947124345264
"S02","INFL","IND","NA","Percentage Point Deviation",0.0497935497165258,0.147975522257404,-0.201249250629587,-0.0142635613434194,0.0070322303912462,0.0020299608046059
"S02","INFL","IDN","NA","Percentage Point Deviation",0.0219655271379793,-0.0655355640759581,0.027107851208541,0.0202202965059683,0.0035460046479585,-0.0006427734362546
"S02","INFL","PHL","NA","Percentage Point Deviation",0.0335101816115735,-0.0227893400801538,-0.015037024910125,0.014993584676759,0.0008017516497816,-0.0033369609531153
"S02","INFL","VNM","NA","Percentage Point Deviation",0.0247008753760269,0.0450691942255332,-0.0860395632138022,0.0046773665108191,0.0054045358716337,7.45837564153e-05
"S02","INFL","THA","NA","Percentage Point Deviation",0.0574931431501113,0.144907017235596,-0.200236606646342,0.0008121935877625,0.0002207576471847,-0.0057221884851799
"S02","INFL","MYS","NA","Percentage Point Deviation",0.0072294924365224,0.0282557984014886,-0.0501329808095363,0.015477741584391,0.0041965764353336,-0.0014118993803436
"S02","INFL","PAK","NA","Percentage Point Deviation",0.0328094668274659,0.0263358410894199,-0.0605230634924681,0.0076709689651011,0.0027260507501126,-0.0004402743872589
"S02","INFL","BGD","NA","Percentage Point Deviation",0.0120836193229223,0.0153788065876626,-0.0359049554463198,0.0075547121410224,0.0034772612467648,-0.0004168156163331
"S02","INFL","LKA","NA","Percentage Point Deviation",0.0352226520192289,-0.0211972148214556,-0.0122467660496284,0.0214053210335408,0.0017648844604423,-0.0039905869307688
"S02","INFL","ROA","NA","Percentage Point Deviation",0.0735553265897693,0.0691228771415808,-0.138057800815261,0.0075516391468966,-0.0015182824569138,-0.0091707834890542
"S02","INFL","LAM","NA","Percentage Point Deviation",0.0021094176336334,0.0241922931044414,-0.0352649955898343,0.0070590269093174,0.0026775766638565,-0.000190373812714
"S02","INFL","AFR","NA","Percentage Point Deviation",0.0154398723008597,-0.0126580560655398,-0.0171315143928652,0.0155488340650933,0.0044488829487932,-0.0009502379395343
"S02","INFL","MEN","NA","Percentage Point Deviation",-0.0186889222149489,0.0138459576831451,-0.0125886865795621,0.0215222184777986,0.005827372978473,-0.0002553587272303
"S02","INFL","ROW","NA","Percentage Point Deviation",0.0032446116811968,0.0398797508907478,-0.0538787180644817,0.0153627210963236,0.0034255129726546,-0.0017044502875763
"S03","GDPR","USA","NA","Percentage GDP Deviation",0.0021683998198616,-0.061454510804305,0.000368367057145,0.0057270710168019,0.0022681680281608,0.0012126051133619
"S03","GDPR","JPN","NA","Percentage GDP Deviation",0.0041287706442617,-0.280979653524652,-0.0161799259979446,0.0171791413583713,0.0164075246889921,0.0151963592592531
"S03","GDPR","EUW","NA","Percentage GDP Deviation",0.0033788632626906,-0.266362400443812,-0.023607845128109,0.0144228820874923,0.0146452173392873,0.0131885719395093
"S03","GDPR","AUS","NA","Percentage GDP Deviation",-0.0021285758959401,-0.0775581122935131,0.0028812892614372,0.015756508105733,0.0083766491010358,0.0036746188405402
